time,DeviceID,SumoEdgeID,LaneNO,Volume,Svolume,Mvolume,Lvolume
2026-05-05 13:13:23,V3MER00,,0,7,7,0,0
2026-05-05 13:13:23,V3MER00,,1,39,35,1,3
2026-05-05 13:13:23,V3MER00,,2,33,30,0,3
2026-05-05 13:13:23,V3MER00,,3,20,14,2,4
2026-05-05 13:13:23,VTHRR20,,0,15,9,4,2
2026-05-05 13:13:23,VTHRR20,,1,40,29,4,7
2026-05-05 13:13:23,VH9H820,,0,13,13,0,0
2026-05-05 13:13:23,VH9H820,,1,33,27,2,4
2026-05-05 13:13:23,VH9H820,,2,16,15,1,0
2026-05-05 13:13:23,VH9H820,,4,0,0,0,0
2026-05-05 13:13:23,VH9H820,,5,0,0,0,0
2026-05-05 13:13:23,VL7TM20,,0,18,9,9,0
2026-05-05 13:13:23,VL7TM20,,1,27,8,18,1
2026-05-05 13:13:23,VJM4U00,,0,7,5,2,0
2026-05-05 13:13:23,V4291E0,,0,50,48,0,2
2026-05-05 13:13:23,VN2D0E1,,0,19,18,0,1
2026-05-05 13:13:23,VKXET60,,0,29,25,0,4
2026-05-05 13:13:23,VKXET60,,1,42,36,0,6
2026-05-05 13:13:23,VKXET60,,2,43,25,16,2
2026-05-05 13:13:23,VKXET60,,3,13,1,11,1
2026-05-05 13:13:23,VN2D0E2,,0,36,33,1,2
2026-05-05 13:13:23,VN2D0E2,,1,45,30,13,2
2026-05-05 13:13:23,VJHM740,,0,25,23,1,1
2026-05-05 13:13:23,VJHM740,,1,28,26,1,1
2026-05-05 13:13:23,VJHM740,,2,49,26,22,1
2026-05-05 13:13:23,VJHM740,,3,31,16,15,0
2026-05-05 13:13:23,VN2D0E0,,0,39,37,1,1
2026-05-05 13:13:23,VLEJP20,,0,20,19,1,0
2026-05-05 13:13:23,VLEJP20,,1,31,20,10,1
2026-05-05 13:13:23,VLEJP20,,2,7,4,2,1
2026-05-05 13:13:23,VHLNV00,,0,24,10,14,0
2026-05-05 13:13:23,VHLNV00,,1,7,7,0,0
2026-05-05 13:13:23,V6130C0,,0,69,50,17,2
2026-05-05 13:13:23,V6130C0,,1,104,104,0,0
2026-05-05 13:13:23,VLQLI40,,0,37,27,5,5
2026-05-05 13:13:23,VSNVA60,,0,14,12,0,2
2026-05-05 13:13:23,VSNVA60,,1,31,18,8,5
